Name,url
"Al-Battran, Mazin Hasan Mossa",https://www.cpso.on.ca/DoctorDetails/Mazin-Hasan-Mossa-AlBattran/0192678-90394
"Al-Nakhli, Mohammed Hamzah Salih",https://www.cpso.on.ca/DoctorDetails/Mohammed-Hamzah-Salih-AlNakhli/0205408-80201
"Al-Ozairi, Abdullah S S S",https://www.cpso.on.ca/DoctorDetails/Abdullah-S-S-S-AlOzairi/0237137-85985
"Al-Sarraf, Sadeq",https://www.cpso.on.ca/DoctorDetails/Sadeq-AlSarraf/0301234-106925
"Alabi, Adedayo Ayokunu",https://www.cpso.on.ca/DoctorDetails/Adedayo-Ayokunu-Alabi/0321350-114128
"Aladetoyinbo, Kehinde Adekunle",https://www.cpso.on.ca/DoctorDetails/Kehinde-Adekunle-Aladetoyinbo/0323367-114235
"Alam, Nural",https://www.cpso.on.ca/DoctorDetails/Nural-Alam/0024167-28989
"Alasiri, Rahaf Mohammed A",https://www.cpso.on.ca/DoctorDetails/Rahaf-Mohammed-A-Alasiri/0270933-94972
"Alatishe, Yuri Adetokunboh",https://www.cpso.on.ca/DoctorDetails/Yuri-Adetokunboh-Alatishe/0275513-96590
"Alavi Tabari, Nazanin",https://www.cpso.on.ca/DoctorDetails/Nazanin-Alavi-Tabari/0274464-95224
"Albuquerque, Joy Maria",https://www.cpso.on.ca/DoctorDetails/Joy-Maria-Albuquerque/0050706-64685
"Aldandashi, Samer",https://www.cpso.on.ca/DoctorDetails/Samer-Aldandashi/0249104-88312
"Alderbas, Sarah M Y J D J",https://www.cpso.on.ca/DoctorDetails/Sarah-M-Y-J-D-J-Alderbas/0278735-97492
"Aleem, Nadia",https://www.cpso.on.ca/DoctorDetails/Nadia-Aleem/0233994-85182
"Aleksiejuk, Zofia Krystyna",https://www.cpso.on.ca/DoctorDetails/Zofia-Krystyna-Aleksiejuk/0042118-56096
"Alenezi, Shuliweeh Menwer R",https://www.cpso.on.ca/DoctorDetails/Shuliweeh-Menwer-R-Alenezi/0263921-92628
"Ali, Faizal Hisham",https://www.cpso.on.ca/DoctorDetails/Faizal-Hisham-Ali/0045989-59967
"Ali, Liaqat",https://www.cpso.on.ca/DoctorDetails/Liaqat-Ali/0049334-63312
"Ali, Sherese",https://www.cpso.on.ca/DoctorDetails/Sherese-Ali/0173040-74742
"Alikouzehgaran, Maryam",https://www.cpso.on.ca/DoctorDetails/Maryam-Alikouzehgaran/0221933-82179
"Alkhadhari, Sulaiman E H Sh",https://www.cpso.on.ca/DoctorDetails/Sulaiman-E-H-Sh-Alkhadhari/0204231-79530
"Allain, Suzanne Marguerite",https://www.cpso.on.ca/DoctorDetails/Suzanne-Marguerite-Allain/0045348-59326
"Allen, Albert Nguyenhoang",https://www.cpso.on.ca/DoctorDetails/Albert-Nguyenhoang-Allen/0250307-88359
"Allen, Katherine",https://www.cpso.on.ca/DoctorDetails/Katherine-Allen/0265489-93540
"Allen, Susan Jane",https://www.cpso.on.ca/DoctorDetails/Susan-Jane-Allen/0036093-50069
"Allidina, Diamond",https://www.cpso.on.ca/DoctorDetails/Diamond-Allidina/0022942-27733
"Almagor, Doron",https://www.cpso.on.ca/DoctorDetails/Doron-Almagor/0048459-62437
"Alsuwaidan, Mohammad T M S",https://www.cpso.on.ca/DoctorDetails/Mohammad-T-M-S-Alsuwaidan/0219684-82361
"Alter, Howard Martin",https://www.cpso.on.ca/DoctorDetails/Howard-Martin-Alter/0027592-32415
"Alvarez Higuera, Andrea del Pilar",https://www.cpso.on.ca/DoctorDetails/Andrea-del-Pilar-Alvarez-Higuera/0243004-87314
"Amaladoss, Alfred Michael Manickam",https://www.cpso.on.ca/DoctorDetails/Alfred-Michael-Manickam-Amaladoss/0243515-87221
"Amaladoss, Antony Sebastian Jesudoss",https://www.cpso.on.ca/DoctorDetails/Antony-Sebastian-Jesudoss-Amaladoss/0228641-85894
"Amaladoss, Noel Rufus",https://www.cpso.on.ca/DoctorDetails/Noel-Rufus-Amaladoss/0233920-85368
"Amanullah, Shabbir",https://www.cpso.on.ca/DoctorDetails/Shabbir-Amanullah/0258815-97496
"Ameis, Stephanie Hope",https://www.cpso.on.ca/DoctorDetails/Stephanie-Hope-Ameis/0210115-80710
"Amjad, Afsari Begum",https://www.cpso.on.ca/DoctorDetails/Afsari-Begum-Amjad/0036100-50076
"Anago, Anthony Elochukwu",https://www.cpso.on.ca/DoctorDetails/Anthony-Elochukwu-Anago/0297725-105452
"Andermann, Lisa Francesca Simone",https://www.cpso.on.ca/DoctorDetails/Lisa-Francesca-Simone-Andermann/0133617-70267
"Anderson, Kathleen Eleanor",https://www.cpso.on.ca/DoctorDetails/Kathleen-Eleanor-Anderson/0281370-97671
"Anderson, Keith Henry",https://www.cpso.on.ca/DoctorDetails/Keith-Henry-Anderson/0019450-24237
"Andrew, Melissa Hackbart",https://www.cpso.on.ca/DoctorDetails/Melissa-Hackbart-Andrew/0052775-66739
"Ansarian, Aylar",https://www.cpso.on.ca/DoctorDetails/Aylar-Ansarian/0265499-92872
"Antochi, Ruxandra Mihaela",https://www.cpso.on.ca/DoctorDetails/Ruxandra-Mihaela-Antochi/0149045-72388
"Antoine, Louis Bernard",https://www.cpso.on.ca/DoctorDetails/Louis-Bernard-Antoine/0236907-87177
"Antolovic-Stanfel, Nives",https://www.cpso.on.ca/DoctorDetails/Nives-AntolovicStanfel/0153602-72734
"Anyaegbuna, Okechukwu Emmanuel",https://www.cpso.on.ca/DoctorDetails/Okechukwu-Emmanuel-Anyaegbuna/0308927-108557
"Anyogu, Uchenna Gabriel",https://www.cpso.on.ca/DoctorDetails/Uchenna-Gabriel-Anyogu/0309421-110853
"Appavoo, Siva",https://www.cpso.on.ca/DoctorDetails/Siva-Appavoo/0179226-75901
"Appleton, Darryl Evan",https://www.cpso.on.ca/DoctorDetails/Darryl-Evan-Appleton/0202404-79801
"Arbitman, Reuben",https://www.cpso.on.ca/DoctorDetails/Reuben-Arbitman/0017116-21901
"Archie, Suzanne Marie",https://www.cpso.on.ca/DoctorDetails/Suzanne-Marie-Archie/0044111-58089
"Arciszewska, Halszka Teresa",https://www.cpso.on.ca/DoctorDetails/Halszka-Teresa-Arciszewska/0037606-51582
"Arfai, Esmail Korki",https://www.cpso.on.ca/DoctorDetails/Esmail-Korki-Arfai/0040350-54326
"Armstrong, Sarah Alice",https://www.cpso.on.ca/DoctorDetails/Sarah-Alice-Armstrong/0257026-91773
"Armstrong, Taylor Clayton",https://www.cpso.on.ca/DoctorDetails/Taylor-Clayton-Armstrong/0220076-82889
"Arora, Sunder Singh",https://www.cpso.on.ca/DoctorDetails/Sunder-Singh-Arora/0030524-42504
"Arun Prakash, Madnayaknahalli Venugopal",https://www.cpso.on.ca/DoctorDetails/Madnayaknahalli-Venugopal-Arun-Prakash/0051923-65902
"Arya, Pradeep",https://www.cpso.on.ca/DoctorDetails/Pradeep-Arya/0325994-117089
"Asayesh, Khalil",https://www.cpso.on.ca/DoctorDetails/Khalil-Asayesh/0040836-54812
"Askland, Kathleen Dawn",https://www.cpso.on.ca/DoctorDetails/Kathleen-Dawn-Askland/0297996-105376
"Asmer, Mehmet Selim",https://www.cpso.on.ca/DoctorDetails/Mehmet-Selim-Asmer/0282054-97565
"Asti, Melina",https://www.cpso.on.ca/DoctorDetails/Melina-Asti/0208389-80339
"Athar, Humera",https://www.cpso.on.ca/DoctorDetails/Humera-Athar/0258373-91841
"Attwood, David George",https://www.cpso.on.ca/DoctorDetails/David-George-Attwood/0056671-68259
"Augustin, Jean Emmanuel",https://www.cpso.on.ca/DoctorDetails/Jean-Emmanuel-Augustin/0023276-28067
"Aulakh, Lakyntiew Patsha Syiemlieh",https://www.cpso.on.ca/DoctorDetails/Lakyntiew-Patsha-Syiemlieh-Aulakh/0235933-85662
"Auron, Samuel",https://www.cpso.on.ca/DoctorDetails/Samuel-Auron/0026292-31115
"Awad, Awad Girgis",https://www.cpso.on.ca/DoctorDetails/Awad-Girgis-Awad/0020090-24878
"Awad, Awad Ibrahim",https://www.cpso.on.ca/DoctorDetails/Awad-Ibrahim-Awad/0042661-56639
"Axler, Auby Howard",https://www.cpso.on.ca/DoctorDetails/Auby-Howard-Axler/0052927-66891
"Ayonrinde, Oyedeji Adebayo",https://www.cpso.on.ca/DoctorDetails/Oyedeji-Adebayo-Ayonrinde/0313546-111862
"Ayub, Muhammad",https://www.cpso.on.ca/DoctorDetails/Muhammad-Ayub/0281773-100143
